layer_name,bit_position,auroc,fpr,detection_error,auroc_fi,fpr_fi,detection_error_fi
layer1.2.conv2,12,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,13,90.32,39.29,15.84,90.32,39.31,15.84
layer1.2.conv2,14,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,15,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,16,90.32,39.29,15.84,90.32,39.3,15.84
layer1.2.conv2,17,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,18,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,19,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,20,90.32,39.29,15.84,90.32,39.3,15.84
layer1.2.conv2,21,90.32,39.29,15.84,90.32,39.33,15.84
layer1.2.conv2,22,90.32,39.29,15.84,90.32,39.31,15.84
layer1.2.conv2,23,90.32,39.29,15.84,90.32,39.31,15.84
layer1.2.conv2,24,90.32,39.29,15.84,90.32,39.29,15.84
layer1.2.conv2,25,90.32,39.29,15.84,90.32,39.44,15.83
layer1.2.conv2,26,90.32,39.29,15.84,90.32,39.28,15.84
layer1.2.conv2,27,90.32,39.29,15.84,90.45,39.06,15.68
layer1.2.conv2,28,90.32,39.29,15.84,90.32,39.4,15.84
layer1.2.conv2,29,90.32,39.29,15.84,90.32,39.35,15.84
layer1.2.conv2,30,90.32,39.29,15.84,76.0,47.91,23.4
layer2.0.conv1,0,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,1,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,2,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,3,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,4,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,5,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,6,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,7,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,8,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,9,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,10,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,11,90.32,39.29,15.84,90.32,39.3,15.84
layer2.0.conv1,12,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,13,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,14,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,15,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,16,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,17,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,18,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,19,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,20,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,21,90.32,39.29,15.84,90.32,39.31,15.84
layer2.0.conv1,22,90.32,39.29,15.84,90.32,39.29,15.84
layer2.0.conv1,23,90.32,39.29,15.84,90.32,39.33,15.84
